Month,Version,Operating System,Downloads
2023-08,8,,789960
2023-09,8,,729821
2023-10,8,,749352
2023-11,8,,689846
2023-12,8,,598928
2024-01,8,,676225
2024-02,8,,693047
2024-03,8,,759763
2024-04,8,,694360
2024-05,8,,736563
2024-06,8,,658646
2024-07,8,,684514
2024-08,8,,650720
2024-09,8,,658146
2024-10,8,,675549
2024-11,8,,2385444
2024-12,8,,3431251
2025-01,8,,1283083
2025-02,8,,1173858
2025-03,8,,1223456
2025-04,8,,1414283
2025-05,8,,1556626
2025-06,8,,2622816
2025-07,8,,1323107
2025-08,8,,912434
2021-02,9,,213644
2021-03,9,,232998
2021-04,9,,214453
2021-05,9,,255198
2021-06,9,,204818
2021-07,9,,207616
2021-08,9,,216023
2021-09,9,,194366
2021-10,9,,206815
2021-11,9,,252909
2021-12,9,,294598
2022-01,9,,248238
2022-02,9,,226036
2022-03,9,,165396
2022-04,9,,145079
2022-05,9,,142472
2022-06,9,,125460
2022-07,9,,170190
2022-08,9,,159786
2022-09,9,,144049
2022-10,9,,136718
2022-11,9,,148109
2022-12,9,,114086
2023-01,9,,127284
2023-02,9,,113811
2023-03,9,,124255
2023-04,9,,87919
2023-05,9,,93749
2023-06,9,,86038
2023-07,9,,268106
2023-08,9,,2030182
2023-09,9,,1443434
2023-10,9,,131844
2023-11,9,,91021
2023-12,9,,84540
2024-01,9,,94004
2024-02,9,,97691
2024-03,9,,130712
2024-04,9,,82748
2024-05,9,,82048
2024-06,9,,74624
2024-07,9,,79854
2024-08,9,,76242
2024-09,9,,81938
2024-10,9,,80806
2024-11,9,,780869
2024-12,9,,1283541
2025-01,9,,222030
2025-02,9,,211004
2025-03,9,,248718
2025-04,9,,261851
2025-05,9,,163104
2025-06,9,,143119
2025-07,9,,120074
2025-08,9,,123108
2021-02,10,,9944898
2021-03,10,,10401222
2021-04,10,,8761989
2021-05,10,,7975095
2021-06,10,,7234821
2021-07,10,,6486538
2021-08,10,,6471456
2021-09,10,,5904101
2021-10,10,,5536498
2021-11,10,,5875394
2021-12,10,,6257600
2022-01,10,,5929296
2022-02,10,,5832032
2022-03,10,,5952990
2022-04,10,,5098115
2022-05,10,,4855440
2022-06,10,,4533593
2022-07,10,,4209160
2022-08,10,,4233631
2022-09,10,,3897130
2022-10,10,,3603229
2022-11,10,,3664578
2022-12,10,,3132064
2023-01,10,,3123489
2023-02,10,,2813530
2023-03,10,,3067498
2023-04,10,,2709921
2023-05,10,,2822746
2023-06,10,,2601499
2023-07,10,,2482945
2023-08,10,,2505846
2023-09,10,,2277976
2023-10,10,,2354689
2023-11,10,,2240177
2023-12,10,,1806739
2024-01,10,,2042030
2024-02,10,,2030382
2024-03,10,,2135006
2024-04,10,,1962181
2024-05,10,,1929970
2024-06,10,,1721529
2024-07,10,,1787142
2024-08,10,,1645513
2024-09,10,,1581093
2024-10,10,,1847374
2024-11,10,,4376651
2024-12,10,,5552703
2025-01,10,,3428635
2025-02,10,,2780401
2025-03,10,,3662443
2025-04,10,,4939894
2025-05,10,,6355899
2025-06,10,,13133307
2025-07,10,,6088629
2025-08,10,,2695734
2021-02,11,,526111
2021-03,11,,576195
2021-04,11,,514479
